Finish time,Time,Type,Selected Approach,Estimated Demand,Estimated Error,
1565351291536, 76, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007647275676747306; 0.02874683388046149; 0.004343521163221773]], 0.413539806939815, 
1565350801515, 56, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007683345048548423; 0.02882936716389988; 0.004512075628134501]], 0.430039304451525, 
1565350801537, 27, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.005224019897626088; 0.02039378430967315; 0.0030278222643151955]], 0.3097708528666743, 
1565350801548, 60, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009631772794838627; 0.025108931515641437; 0.006577744398891904]], 0.757859952325285, 
1565350801551, 59, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013540022707022143; 0.01981356795251188; 0.008805044805008181]], 1.4559575914754503, 
1565350871595, 19, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.01248881323662021; 0.048268077165412565; 0.00732330676926709]], 25.96991969887662, 
1565350871596, 21, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.00760068956260197; 0.028928295451043255; 0.00447467924657719]], 0.43418073622822834, 
1565350871626, 29, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[3.422650454270283E-4; 0.032184096150703445; 0.009133572776504477]], 0.9351102861336847, 
1565350871646, 73, ESTIMATION, -,[[0.00760068956260197; 0.028928295451043255; 0.00447467924657719]], 0.43418073622822834, 
1565350871651, 30, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009577829493698465; 0.025144043058270723; 0.006600271587098697]], 0.7741024469908395, 
1565350871665, 43, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013443484080411145; 0.020013888697231943; 0.008681178017124744]], 1.4785921728967495, 
1565350871669, 53, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.005167748887052559; 0.02042088789823317; 0.003007605886782974]], 0.3111935291648656, 
1565350941758, 49, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012495335098000555; 0.04827217376299355; 0.007279713154168122]], 28.61272238891196, 
1565350941769, 63, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[8.754757264477789E-5; 0.03233374855603058; 0.009195940768357393]], 0.9833929071434465, 
1565350941772, 69, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007592100046889848; 0.028919807523325482; 0.004439876183140631]], 0.43416575873879687, 
1565350941774, 83, ESTIMATION, -,[[0.007592100046889848; 0.028919807523325482; 0.004439876183140631]], 0.43416575873879687, 
1565350941776, 72, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.005174071887910823; 0.02039882316625901; 0.0029932834350741263]], 0.3098921071673562, 
1565350941778, 55, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009580411358354487; 0.025083833144333694; 0.006593577202587368]], 0.7785753748223305, 
1565350941790, 67, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013302931405942063; 0.02016397605320254; 0.00855146664922068]], 1.4630808661934098, 
1565351011918, 70, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.00525568514388266; 0.020391026684166064; 0.002997116053330151]], 0.3025642341232117, 
1565351011925, 97, ESTIMATION, -,[[0.007635081348008484; 0.028745086401876698; 0.0043935545306339535]], 0.42364404626211055, 
1565351011938, 101, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012590962052925994; 0.04798982649560059; 0.007221180505738059]], 45.999555434002744, 
1565351011940, 74, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.001829726861364189; 0.031144610952440154; 0.00869781757219149]], 0.6575221192854397, 
1565351011951, 115, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007635081348008484; 0.028745086401876698; 0.0043935545306339535]], 0.42364404626211055, 
1565351011961, 57, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.01287879460117244; 0.02034552464623584; 0.008390110665939827]], 1.3713915711807816, 
1565351082029, 43, ESTIMATION, -,[[0.00771083849538629; 0.02867309237245608; 0.004401884637841398]], 0.420106519815414, 
1565351082031, 42, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.00771083849538629; 0.02867309237245608; 0.004401884637841398]], 0.420106519815414, 
