Timestamp;WC0;WC1
1370202919000;14.0;24.0
1370202920000;15.0;9.0
1370202921000;11.0;15.0
1370202922000;16.0;18.0
1370202923000;15.0;19.0
1370202924000;12.0;11.0
1370202925000;8.0;19.0
1370202926000;21.0;15.0
1370202927000;11.0;16.0
1370202928000;19.0;15.0
1370202929000;18.0;11.0
1370202930000;13.0;13.0
1370202931000;14.0;16.0
1370202932000;10.0;17.0
1370202933000;22.0;16.0
1370202934000;8.0;18.0
1370202935000;11.0;12.0
1370202936000;13.0;17.0
1370202937000;12.0;17.0
1370202938000;13.0;24.0
1370202939000;11.0;11.0
1370202940000;17.0;15.0
1370202941000;13.0;16.0
1370202942000;14.0;7.0
1370202943000;9.0;11.0
1370202944000;13.0;14.0
1370202945000;17.0;11.0
1370202946000;20.0;15.0
1370202947000;13.0;13.0
1370202948000;18.0;15.0
1370202949000;13.0;20.0
1370202950000;22.0;10.0
1370202951000;15.0;9.0
1370202952000;14.0;7.0
1370202953000;14.0;23.0
1370202954000;13.0;11.0
1370202955000;17.0;17.0
1370202956000;20.0;18.0
1370202957000;16.0;13.0
1370202958000;15.0;12.0
1370202959000;18.0;14.0
1370202960000;19.0;20.0
1370202961000;13.0;17.0
1370202962000;9.0;22.0
1370202963000;22.0;13.0
1370202964000;17.0;22.0
1370202965000;10.0;18.0
1370202966000;16.0;22.0
1370202967000;25.0;15.0
1370202968000;15.0;15.0
1370202969000;15.0;19.0
1370202970000;13.0;16.0
1370202971000;15.0;14.0
1370202972000;9.0;19.0
1370202973000;18.0;12.0
1370202974000;24.0;23.0
1370202975000;13.0;12.0
1370202976000;13.0;18.0
1370202977000;15.0;15.0
1370202978000;14.0;17.0
1370202979000;17.0;15.0
1370202980000;16.0;14.0
1370202981000;9.0;17.0
1370202982000;17.0;19.0
1370202983000;11.0;19.0
1370202984000;12.0;15.0
1370202985000;14.0;12.0
1370202986000;8.0;15.0
1370202987000;21.0;20.0
1370202988000;13.0;9.0
1370202989000;16.0;14.0
1370202990000;15.0;15.0
1370202991000;19.0;18.0
1370202992000;18.0;12.0
1370202993000;15.0;9.0
1370202994000;18.0;18.0
1370202995000;11.0;14.0
1370202996000;14.0;15.0
1370202997000;20.0;17.0
1370202998000;16.0;14.0
1370202999000;17.0;10.0
1370203000000;15.0;15.0
1370203001000;15.0;22.0
1370203002000;16.0;11.0
1370203003000;15.0;18.0
1370203004000;12.0;18.0
1370203005000;13.0;13.0
1370203006000;19.0;10.0
1370203007000;20.0;14.0
1370203008000;13.0;17.0
1370203009000;12.0;20.0
1370203010000;10.0;12.0
1370203011000;21.0;14.0
1370203012000;13.0;21.0
1370203013000;15.0;7.0
1370203014000;17.0;17.0
1370203015000;16.0;8.0
1370203016000;15.0;18.0
1370203017000;11.0;14.0
1370203018000;18.0;19.0
1370203019000;14.0;16.0
1370203020000;12.0;16.0
